Year,Market_Size_AUD,Market_Size_Billions,YoY_Growth_%,Notes
2000,25000000000,25,,
2001,26059270564,26.06,4.24,
2002,27163423294,27.16,4.24,
2003,28314359882,28.31,4.24,
2004,29514062601,29.51,4.24,
2005,30764597711,30.76,4.24,
2006,32068119022,32.07,4.24,
2007,33426871603,33.43,4.24,
2008,34843195649,34.84,4.24,
2009,36319530509,36.32,4.24,
2010,37858418892,37.86,4.24,
2011,39462511242,39.46,4.24,
2012,41134570304,41.13,4.24,
2013,42877475884,42.88,4.24,
2014,44694229807,44.69,4.24,
2015,46587961088,46.59,4.24,
2016,48561931321,48.56,4.24,
2017,50619540296,50.62,4.24,
2018,52764331857,52.76,4.24,
2019,55000000000,55,4.24,
2020,35750000000,35.75,-35,COVID-19 shock
2021,45760000000,45.76,28,Recovery
2022,56000000000,56,22.38,Recovery
2023,63000000000,63,12.5,Recovery
2024,68000000000,68,7.94,Recovery
2025,71060000000,71.06,4.5,Projection (~4.5% CAGR)
2026,74257700000,74.26,4.5,Projection (~4.5% CAGR)
2027,77599296500,77.6,4.5,Projection (~4.5% CAGR)
2028,81091264843,81.09,4.5,Projection (~4.5% CAGR)
2029,84740371760,84.74,4.5,Projection (~4.5% CAGR)
2030,88553688490,88.55,4.5,Projection (~4.5% CAGR)
