Year,Cuisine,Revenue (Million AUD)
2000,Chinese,1540
2001,Chinese,1620
2002,Chinese,1760
2003,Chinese,1900
2004,Chinese,1980
2005,Chinese,2120
2006,Chinese,2260
2007,Chinese,2340
2008,Chinese,2480
2009,Chinese,2620
2010,Chinese,2700
2011,Chinese,2840
2012,Chinese,2980
2013,Chinese,3060
2014,Chinese,3200
2015,Chinese,3340
2016,Chinese,3420
2017,Chinese,3560
2018,Chinese,3700
2019,Chinese,3780
2020,Chinese,3920
2021,Chinese,4060
2022,Chinese,4140
2023,Chinese,4280
2024,Chinese,4420
2025,Chinese,4500
2000,Italian,1300
2001,Italian,1425
2002,Italian,1550
2003,Italian,1675
2004,Italian,1740
2005,Italian,1865
2006,Italian,1990
2007,Italian,2115
2008,Italian,2180
2009,Italian,2305
2010,Italian,2430
2011,Italian,2555
2012,Italian,2620
2013,Italian,2745
2014,Italian,2870
2015,Italian,2995
2016,Italian,3060
2017,Italian,3185
2018,Italian,3310
2019,Italian,3435
2020,Italian,3500
2021,Italian,3625
2022,Italian,3750
2023,Italian,3875
2024,Italian,3940
2025,Italian,4065
2000,Indian,800
2001,Indian,895
2002,Indian,990
2003,Indian,1085
2004,Indian,1180
2005,Indian,1225
2006,Indian,1320
2007,Indian,1415
2008,Indian,1510
2009,Indian,1605
2010,Indian,1650
2011,Indian,1745
2012,Indian,1840
2013,Indian,1935
2014,Indian,2030
2015,Indian,2075
2016,Indian,2170
2017,Indian,2265
2018,Indian,2360
2019,Indian,2455
2020,Indian,2500
2021,Indian,2595
2022,Indian,2690
2023,Indian,2785
2024,Indian,2880
2025,Indian,2925
2000,Thai,600
2001,Thai,695
2002,Thai,740
2003,Thai,835
2004,Thai,880
2005,Thai,975
2006,Thai,1020
2007,Thai,1115
2008,Thai,1160
2009,Thai,1255
2010,Thai,1300
2011,Thai,1395
2012,Thai,1440
2013,Thai,1535
2014,Thai,1580
2015,Thai,1675
2016,Thai,1720
2017,Thai,1815
2018,Thai,1860
2019,Thai,1955
2020,Thai,2000
2021,Thai,2095
2022,Thai,2140
2023,Thai,2235
2024,Thai,2280
2025,Thai,2375
2000,Cafe_Brunch,420
2001,Cafe_Brunch,525
2002,Cafe_Brunch,630
2003,Cafe_Brunch,735
2004,Cafe_Brunch,780
2005,Cafe_Brunch,885
2006,Cafe_Brunch,990
2007,Cafe_Brunch,1095
2008,Cafe_Brunch,1200
2009,Cafe_Brunch,1305
2010,Cafe_Brunch,1350
2011,Cafe_Brunch,1455
2012,Cafe_Brunch,1560
2013,Cafe_Brunch,1665
2014,Cafe_Brunch,1770
2015,Cafe_Brunch,1875
2016,Cafe_Brunch,1920
2017,Cafe_Brunch,2025
2018,Cafe_Brunch,2130
2019,Cafe_Brunch,2235
2020,Cafe_Brunch,2340
2021,Cafe_Brunch,2445
2022,Cafe_Brunch,2490
2023,Cafe_Brunch,2595
2024,Cafe_Brunch,2700
2025,Cafe_Brunch,2805
