Suburb,Cuisine,Estimated_Count,lat,lon,Latitude,Longitude
Melbourne CBD,Modern Australian,30,-37.8136,144.9631,-37.95018395246105,145.0517594552541
Melbourne CBD,Chinese,45,-37.8136,144.9631,-37.71971427743603,145.07829947559384
Melbourne CBD,Japanese,24,-37.8136,144.9631,-37.80720242327544,144.9818164259071
Melbourne CBD,Korean,15,-37.8136,144.9631,-37.86053660632118,145.05102323203363
Melbourne CBD,Italian,36,-37.8136,144.9631,-38.037592543823024,145.03372572476923
Melbourne CBD,Vietnamese,24,-37.8136,144.9631,-38.03760219186552,145.1604632041964
Melbourne CBD,Thai,21,-37.8136,144.9631,-38.07676655513272,144.81817855213657
Melbourne CBD,Indian,21,-37.8136,144.9631,-37.75352954169002,144.9123852758369
Melbourne CBD,Middle Eastern,15,-37.8136,144.9631,-37.85955399530272,145.18016459363062
Melbourne CBD,Fast Food,24,-37.8136,144.9631,-37.81677096888158,145.15610551355635
Melbourne CBD,Café / Brunch,30,-37.8136,144.9631,-38.09176620228168,144.98226270111428
Melbourne CBD,European,15,-37.8136,144.9631,-37.7120360591352,145.04805303912062
Carlton,Modern Australian,30,-37.8001,144.966,-37.76702294367983,144.91095247319245
Carlton,Chinese,45,-37.8001,144.966,-38.01506435572869,144.8752484638895
Carlton,Japanese,24,-37.8001,144.966,-38.02727001311716,144.985479361976
Carlton,Korean,15,-37.8001,144.966,-38.02663819605863,144.94134089121042
Carlton,Italian,120,-37.8001,144.966,-37.97830310281618,145.03346244474034
Carlton,Vietnamese,24,-37.8001,144.966,-37.8900974273471,144.831093854786
Carlton,Thai,21,-37.8001,144.966,-37.92722199254315,145.18975792306648
Carlton,Indian,21,-37.8001,144.966,-37.98350834392078,145.19448429779183
Carlton,Middle Eastern,15,-37.8001,144.966,-37.85525884211105,145.0792646856079
Carlton,Fast Food,24,-37.8001,144.966,-38.04420245573918,145.01443854653766
Carlton,Café / Brunch,30,-37.8001,144.966,-37.98314214058591,144.92381104651454
Carlton,European,15,-37.8001,144.966,-37.953455262682525,145.1255180078828
Fitzroy,Modern Australian,30,-37.7984,144.9787,-37.91757200631319,145.07389246902156
Fitzroy,Chinese,45,-37.7984,144.9787,-37.7859296154428,144.86504677573797
Fitzroy,Japanese,24,-37.7984,144.9787,-38.020130487136655,145.16437087379754
Fitzroy,Korean,15,-37.7984,144.9787,-37.89430622463456,145.12901489716927
Fitzroy,Italian,36,-37.7984,144.9787,-37.86303417245518,145.17991996531677
Fitzroy,Vietnamese,24,-37.7984,144.9787,-38.081419834912,145.09028780335535
