Suburb,Cuisine,Estimated_Count,lat,lon
Melbourne CBD,Modern Australian,30,-37.8136,144.9631
Melbourne CBD,Chinese,45,-37.8136,144.9631
Melbourne CBD,Japanese,24,-37.8136,144.9631
Melbourne CBD,Korean,15,-37.8136,144.9631
Melbourne CBD,Italian,36,-37.8136,144.9631
Melbourne CBD,Vietnamese,24,-37.8136,144.9631
Melbourne CBD,Thai,21,-37.8136,144.9631
Melbourne CBD,Indian,21,-37.8136,144.9631
Melbourne CBD,Middle Eastern,15,-37.8136,144.9631
Melbourne CBD,Fast Food,24,-37.8136,144.9631
Melbourne CBD,Café / Brunch,30,-37.8136,144.9631
Melbourne CBD,European,15,-37.8136,144.9631
Carlton,Modern Australian,30,-37.8001,144.966
Carlton,Chinese,45,-37.8001,144.966
Carlton,Japanese,24,-37.8001,144.966
Carlton,Korean,15,-37.8001,144.966
Carlton,Italian,120,-37.8001,144.966
Carlton,Vietnamese,24,-37.8001,144.966
Carlton,Thai,21,-37.8001,144.966
Carlton,Indian,21,-37.8001,144.966
Carlton,Middle Eastern,15,-37.8001,144.966
Carlton,Fast Food,24,-37.8001,144.966
Carlton,Café / Brunch,30,-37.8001,144.966
Carlton,European,15,-37.8001,144.966
Fitzroy,Modern Australian,30,-37.7984,144.9787
Fitzroy,Chinese,45,-37.7984,144.9787
Fitzroy,Japanese,24,-37.7984,144.9787
Fitzroy,Korean,15,-37.7984,144.9787
Fitzroy,Italian,36,-37.7984,144.9787
Fitzroy,Vietnamese,24,-37.7984,144.9787
Fitzroy,Thai,21,-37.7984,144.9787
Fitzroy,Indian,21,-37.7984,144.9787
Fitzroy,Middle Eastern,15,-37.7984,144.9787
Fitzroy,Fast Food,24,-37.7984,144.9787
Fitzroy,Café / Brunch,60,-37.7984,144.9787
Fitzroy,European,15,-37.7984,144.9787
Collingwood,Modern Australian,30,-37.8045,144.9931
Collingwood,Chinese,45,-37.8045,144.9931
Collingwood,Japanese,24,-37.8045,144.9931
Collingwood,Korean,15,-37.8045,144.9931
Collingwood,Italian,36,-37.8045,144.9931
Collingwood,Vietnamese,24,-37.8045,144.9931
Collingwood,Thai,21,-37.8045,144.9931
Collingwood,Indian,21,-37.8045,144.9931
Collingwood,Middle Eastern,15,-37.8045,144.9931
Collingwood,Fast Food,24,-37.8045,144.9931
Collingwood,Café / Brunch,30,-37.8045,144.9931
Collingwood,European,15,-37.8045,144.9931
Southbank,Modern Australian,30,-37.8256,144.9643
Southbank,Chinese,45,-37.8256,144.9643
Southbank,Japanese,24,-37.8256,144.9643
Southbank,Korean,15,-37.8256,144.9643
Southbank,Italian,36,-37.8256,144.9643
Southbank,Vietnamese,24,-37.8256,144.9643
Southbank,Thai,21,-37.8256,144.9643
Southbank,Indian,21,-37.8256,144.9643
Southbank,Middle Eastern,15,-37.8256,144.9643
Southbank,Fast Food,24,-37.8256,144.9643
Southbank,Café / Brunch,30,-37.8256,144.9643
Southbank,European,15,-37.8256,144.9643
Richmond,Modern Australian,30,-37.8185,145.0014
Richmond,Chinese,45,-37.8185,145.0014
Richmond,Japanese,24,-37.8185,145.0014
Richmond,Korean,15,-37.8185,145.0014
Richmond,Italian,36,-37.8185,145.0014
Richmond,Vietnamese,24,-37.8185,145.0014
Richmond,Thai,21,-37.8185,145.0014
Richmond,Indian,21,-37.8185,145.0014
Richmond,Middle Eastern,15,-37.8185,145.0014
Richmond,Fast Food,24,-37.8185,145.0014
Richmond,Café / Brunch,30,-37.8185,145.0014
Richmond,European,15,-37.8185,145.0014
Brunswick,Modern Australian,30,-37.7676,144.9614
Brunswick,Chinese,45,-37.7676,144.9614
Brunswick,Japanese,24,-37.7676,144.9614
Brunswick,Korean,15,-37.7676,144.9614
Brunswick,Italian,36,-37.7676,144.9614
Brunswick,Vietnamese,24,-37.7676,144.9614
Brunswick,Thai,21,-37.7676,144.9614
Brunswick,Indian,21,-37.7676,144.9614
Brunswick,Middle Eastern,15,-37.7676,144.9614
Brunswick,Fast Food,24,-37.7676,144.9614
Brunswick,Café / Brunch,30,-37.7676,144.9614
