industry_anzsic4_code,industry_anzsic4_description,longitude,latitude
4511,Cafes and Restaurants,144.9583356388194,-37.823161595550005
4511,Cafes and Restaurants,144.95844223381087,-37.825404033
4511,Cafes and Restaurants,144.9635826319669,-37.82348398275
4511,Cafes and Restaurants,144.9828162329293,-37.84657030085
4511,Cafes and Restaurants,144.95500291431983,-37.79885279195
4511,Cafes and Restaurants,144.95011811232098,-37.82070279135
4511,Cafes and Restaurants,144.9486227334,-37.82202103918969
4511,Cafes and Restaurants,144.9456206136,-37.81974124479267
4511,Cafes and Restaurants,144.94570130868357,-37.82206262355
4511,Cafes and Restaurants,144.93799836630816,-37.8132875163
4511,Cafes and Restaurants,144.93799836630816,-37.8132875163
4512,Takeaway Food Services,144.94096077615,-37.78974280720024
4513,Catering Services,144.9387113541,-37.79407408323281
4511,Cafes and Restaurants,144.96865384918814,-37.81867874765
4512,Takeaway Food Services,144.9624374712571,-37.81798972045
4511,Cafes and Restaurants,144.97251244573033,-37.8150648791
4511,Cafes and Restaurants,144.95572468102446,-37.8190200855
4511,Cafes and Restaurants,144.95572468102446,-37.8190200855
4511,Cafes and Restaurants,144.96279108305,-37.81729659038814
4512,Takeaway Food Services,144.96279108305,-37.81729659038814
4512,Takeaway Food Services,144.96279108305,-37.81729659038814
4511,Cafes and Restaurants,144.9635575789062,-37.8168391899
4512,Takeaway Food Services,144.96559654045,-37.81660289619204
4511,Cafes and Restaurants,144.96559654045,-37.81660289619204
4511,Cafes and Restaurants,144.96582950754998,-37.8160618382998
4511,Cafes and Restaurants,144.96565081735002,-37.81635198774608
4511,Cafes and Restaurants,144.96497351275002,-37.81654781240799
4511,Cafes and Restaurants,144.96876152725,-37.81545151804356
4512,Takeaway Food Services,144.9681525514,-37.81081439842686
4511,Cafes and Restaurants,144.95600158025002,-37.81346261063083
4400,Accommodation,144.94851771555182,-37.80608742215
4511,Cafes and Restaurants,144.9727108360488,-37.813420337533486
4512,Takeaway Food Services,144.9713653620928,-37.8131029158241
4511,Cafes and Restaurants,144.9724984255816,-37.8129241315692
4520,"Pubs, Taverns and Bars",144.95536140545556,-37.81742034144726
4511,Cafes and Restaurants,144.95628515442587,-37.81673696529579
4511,Cafes and Restaurants,144.9589319066054,-37.81630802777758
4511,Cafes and Restaurants,144.96454098046968,-37.81445861712644
4511,Cafes and Restaurants,144.96842640034436,-37.81299030000287
4511,Cafes and Restaurants,144.96926423969694,-37.81302916652539
4511,Cafes and Restaurants,144.97012060841234,-37.81281949583683
4511,Cafes and Restaurants,144.97012060841234,-37.81281949583683
4512,Takeaway Food Services,144.96903072912073,-37.81349350249417
4511,Cafes and Restaurants,144.9720552011901,-37.81193701505745
4511,Cafes and Restaurants,144.9718058492177,-37.81200751065888
4511,Cafes and Restaurants,144.9710491287612,-37.81218152051927
4511,Cafes and Restaurants,144.95515991119794,-37.81584252889288
4511,Cafes and Restaurants,144.95614817918317,-37.81567754309961
4511,Cafes and Restaurants,144.95839874493825,-37.81527179066568
4511,Cafes and Restaurants,144.9592063478041,-37.81499992225022
4511,Cafes and Restaurants,144.96764135349753,-37.81247212005729
4512,Takeaway Food Services,144.95803295745014,-37.80033777204672
4511,Cafes and Restaurants,144.95833738396954,-37.80169624190954
4511,Cafes and Restaurants,144.95929054971208,-37.80023395605824
4511,Cafes and Restaurants,144.96274058047118,-37.80133750861015
4512,Takeaway Food Services,144.9664404904907,-37.80187113176618
4511,Cafes and Restaurants,144.96577931773786,-37.80081838079025
4511,Cafes and Restaurants,144.96734510799644,-37.8013759211696
4511,Cafes and Restaurants,144.96722922405323,-37.801760357205815
4511,Cafes and Restaurants,144.9667893325901,-37.80305989779552
4511,Cafes and Restaurants,144.96681784833012,-37.80331101247301
4511,Cafes and Restaurants,144.9667538170483,-37.80359472491749
0,Vacant Space,144.9667114577178,-37.80443910397452
4511,Cafes and Restaurants,144.9667114577178,-37.80443910397452
4511,Cafes and Restaurants,144.9667114577178,-37.80443910397452
4511,Cafes and Restaurants,144.9667114577178,-37.80443910397452
4511,Cafes and Restaurants,144.9667114577178,-37.80443910397452
4511,Cafes and Restaurants,144.9667114577178,-37.80443910397452
4511,Cafes and Restaurants,144.96598742360715,-37.80449729750078
4512,Takeaway Food Services,144.9644315873123,-37.80282317353127
4511,Cafes and Restaurants,144.9485636230659,-37.80875423572947
4511,Cafes and Restaurants,144.9540543241914,-37.80590135400368
4511,Cafes and Restaurants,144.92946655711074,-37.79457748151225
4511,Cafes and Restaurants,144.97572656547288,-37.83548658861627
4520,"Pubs, Taverns and Bars",144.98093986721295,-37.84737019243369
4512,Takeaway Food Services,144.97988006702337,-37.84555848845682
4511,Cafes and Restaurants,144.97988006702337,-37.84555848845682
4511,Cafes and Restaurants,144.97988006702337,-37.84555848845682
4511,Cafes and Restaurants,144.97988006702337,-37.84555848845682
4511,Cafes and Restaurants,144.98038782913517,-37.84685438082519
4511,Cafes and Restaurants,144.96623542443987,-37.83069617006081
4511,Cafes and Restaurants,144.96817977232973,-37.82094335737567
4511,Cafes and Restaurants,144.96863637469949,-37.82273923764591
4511,Cafes and Restaurants,144.96631253645785,-37.82071954088171
4511,Cafes and Restaurants,144.9780209367754,-37.84040834579726
4512,Takeaway Food Services,144.97929773174417,-37.84459396068381
4511,Cafes and Restaurants,144.9462970613974,-37.824855458091946
4511,Cafes and Restaurants,144.92537984182212,-37.82302102651373
4511,Cafes and Restaurants,144.9061118838326,-37.82437062850407
4511,Cafes and Restaurants,144.920882697185,-37.82606121152076
4511,Cafes and Restaurants,144.96219203595228,-37.821716438356745
4512,Takeaway Food Services,144.96219203595228,-37.821716438356745
4511,Cafes and Restaurants,144.95834505639274,-37.82316296178964
4511,Cafes and Restaurants,144.95378459967165,-37.8255607180874
4511,Cafes and Restaurants,144.96002875563994,-37.82398207347474
4511,Cafes and Restaurants,144.96002875563994,-37.82398207347474
4511,Cafes and Restaurants,144.96192799679295,-37.82383708513245
4512,Takeaway Food Services,144.96585372508815,-37.82222624317352
4511,Cafes and Restaurants,144.96583681101248,-37.82280915203883
4511,Cafes and Restaurants,144.95869033431137,-37.78398369390354
4400,Accommodation,144.95882491805455,-37.78289972149981
4511,Cafes and Restaurants,144.94750218928556,-37.81490130310292
4511,Cafes and Restaurants,144.94929646964988,-37.81724801702705
4511,Cafes and Restaurants,144.94762060619786,-37.81813236544359
4511,Cafes and Restaurants,144.94762060619786,-37.81813236544359
4511,Cafes and Restaurants,144.94762060619786,-37.81813236544359
4512,Takeaway Food Services,144.94762060619786,-37.81813236544359
4511,Cafes and Restaurants,144.9480015267137,-37.8193822822952
4511,Cafes and Restaurants,144.95027921091815,-37.81865868836793
4511,Cafes and Restaurants,144.95027921091815,-37.81865868836793
4511,Cafes and Restaurants,144.93930852676078,-37.81522645600997
4511,Cafes and Restaurants,144.93930852676078,-37.81522645600997
4511,Cafes and Restaurants,144.95248837257935,-37.8228850309636
4511,Cafes and Restaurants,144.95248837257935,-37.8228850309636
4511,Cafes and Restaurants,144.9565137522286,-37.8209790437
4511,Cafes and Restaurants,144.96577579893395,-37.8186817777
4129,Other Specialised Food Retailing,144.96577579893395,-37.8186817777
4511,Cafes and Restaurants,144.96865384918814,-37.81867874765
4520,"Pubs, Taverns and Bars",144.96865384918814,-37.81867874765
4511,Cafes and Restaurants,144.96994164279243,-37.817777826050005
4511,Cafes and Restaurants,144.95694810827098,-37.8076248221
4511,Cafes and Restaurants,144.95378254353602,-37.8225810113
4511,Cafes and Restaurants,144.96775692995354,-37.79763355435
4511,Cafes and Restaurants,144.9683843376,-37.797529236432425
4511,Cafes and Restaurants,144.96988152896057,-37.7991834824
4511,Cafes and Restaurants,144.97117527986072,-37.7952323664
4520,"Pubs, Taverns and Bars",144.97338802913018,-37.79303042445
4511,Cafes and Restaurants,144.97492168100655,-37.7956867178
4511,Cafes and Restaurants,144.95841066532603,-37.80041001275001
4511,Cafes and Restaurants,144.9589993495047,-37.80052492865
4512,Takeaway Food Services,144.96433321843543,-37.80189615855
4511,Cafes and Restaurants,144.96433321843543,-37.80189615855
4511,Cafes and Restaurants,144.9656240374,-37.80079999611096
