Suburb,Latitude,Longitude,Total_Restaurants,Chinese,Italian,Japanese,Indian,Thai,Café_Brunch,Modern_Australian,Fast_Food,Middle_Eastern,Other,Top_Cuisine
Melbourne CBD,-37.8136,144.9631,1200,220,150,100,80,130,180,140,70,130,0,Chinese
Carlton,-37.8,144.9667,400,60,40,30,20,50,80,40,20,60,0,Café_Brunch
Fitzroy,-37.798,144.978,350,40,30,25,20,40,100,30,10,55,0,Café_Brunch
Richmond,-37.8184,145.0018,500,90,60,50,35,70,90,40,20,45,0,Chinese
Southbank,-37.823,144.958,450,80,70,40,30,50,70,40,20,50,0,Chinese
St Kilda,-37.8676,144.9809,300,50,30,20,15,40,70,30,10,35,0,Café_Brunch
Box Hill,-37.8184,145.125,250,120,20,10,15,25,30,10,10,10,0,Chinese
Springvale,-37.948,145.153,200,90,10,5,10,20,25,10,10,20,0,Chinese
Point Cook,-37.913,144.75,180,30,20,15,10,25,30,15,10,25,0,Chinese
Footscray,-37.8,144.9,220,40,20,15,15,25,40,20,15,30,0,Chinese
Glen Waverley,-37.879,145.164,300,60,40,20,20,30,40,30,20,40,0,Chinese
Dandenong,-37.987,145.215,260,70,30,10,15,25,40,30,10,30,0,Chinese
Doncaster,-37.787,145.125,200,50,30,20,10,20,30,20,10,10,0,Chinese
Camberwell,-37.8333,145.0667,190,30,25,20,10,20,40,20,10,15,0,Café_Brunch
Brunswick,-37.7667,144.961,250,40,30,25,15,25,50,25,15,25,0,Café_Brunch
Prahran,-37.85,144.993,230,35,25,20,15,25,45,25,10,30,0,Café_Brunch
South Yarra,-37.838,144.992,300,50,35,25,20,30,60,30,15,35,0,Café_Brunch
Geelong,-38.15,144.35,400,60,50,30,25,40,70,40,25,60,0,Café_Brunch
Ballarat,-37.56,143.85,250,40,30,20,15,25,40,30,15,35,0,Chinese
Bendigo,-36.757,144.28,240,30,25,20,15,20,40,30,20,40,0,Café_Brunch
