Suburb,Latitude,Longitude
Melbourne,-37.867214786067024,144.79865729930913
Melbourne,-37.870852247523544,144.80138051060655
Melbourne,-37.861946395410584,144.80678960986285
Melbourne,-37.86565595685676,144.79700357576058
Melbourne,-37.86318196697949,144.80009720368707
Melbourne,-37.85989803616514,144.80960723360775
Melbourne,-37.86256060695477,144.81511712954475
Melbourne,-37.87119301847019,144.80238711693843
Melbourne,-37.87285428101618,144.79865855171977
Melbourne,-37.87041485445664,144.798444649913
Melbourne,-37.86302127159749,144.81417604551294
Melbourne,-37.86321675806472,144.80474535261172
Melbourne,-37.86416704163037,144.8117933764175
Melbourne,-37.86727752534459,144.8082274058803
Melbourne,-37.87249878623984,144.81482658091002
Melbourne,-37.867775904911845,144.80194528520533
Melbourne,-37.876878449487656,144.80124997488787
Melbourne,-37.8756856851855,144.79964840119868
Melbourne,-37.86643912629717,144.81237423371817
Melbourne,-37.86148859487257,144.8050835317404
Melbourne,-37.87121417413916,144.81080483992497
Melbourne,-37.87764641227953,144.8055440243988
Melbourne,-37.85991894022149,144.8086344982572
Melbourne,-37.864741081481576,144.80563563839172
Melbourne,-37.862059650469206,144.79941294789572
Melbourne,-37.86430740252722,144.81386492982168
Melbourne,-37.865933814311255,144.80577751855836
Melbourne,-37.876754241977224,144.79733664520808
Melbourne,-37.874654434647596,144.81457117630336
Melbourne,-37.863063906504365,144.81131419882118
Melbourne,-37.86263503063288,144.81564804351774
Melbourne,-37.87098124407613,144.80960135729921
Melbourne,-37.864585366560696,144.811437388435
Melbourne,-37.87655003059491,144.8090061609928
Melbourne,-37.86685825079419,144.8077735579302
Box Hill,-37.83166111962386,145.087534851471
Box Hill,-37.82606651998208,145.08252750058014
Box Hill,-37.83726185791433,145.07424714648675
Box Hill,-37.8255884156806,145.0781335718636
Box Hill,-37.83899213045432,145.09066585819608
Box Hill,-37.835197002977765,145.08638105159613
Box Hill,-37.82660084958439,145.08985488498385
Box Hill,-37.82887901392732,145.08207709956437
Box Hill,-37.82882249338197,145.0921980281206
Box Hill,-37.82783388364443,145.0852905061977
Box Hill,-37.82438561126183,145.09245600236656
Box Hill,-37.830256819541354,145.08965560319473
Box Hill,-37.83662581958222,145.08233356378642
Box Hill,-37.8355722275869,145.07445002144306
Box Hill,-37.82226104107929,145.0823675293135
Box Hill,-37.82505403725481,145.0790003332267
Box Hill,-37.83238958198383,145.08711450725764
Box Hill,-37.83922657131751,145.08343457333575
Box Hill,-37.83617692911393,145.09227133277017
Box Hill,-37.83419217063135,145.07783541588014
Box Hill,-37.833508129740686,145.0882236301432
Box Hill,-37.82928922285326,145.09078477856502
Box Hill,-37.82653747796192,145.09228020327143
Box Hill,-37.83411861540527,145.07536403654828
Box Hill,-37.83174653453764,145.09057287666295
Box Hill,-37.825856266693265,145.08826830024472
Box Hill,-37.82273353850743,145.07592420960808
Box Hill,-37.829335374119054,145.08921780674476
Box Hill,-37.83903382290903,145.08931220171917
Box Hill,-37.83848058129067,145.07513346549234
Box Hill,-37.825198989821416,145.08351833504202
Box Hill,-37.82892953843265,145.07402015849325
Box Hill,-37.829857553999105,145.08939043586167
Box Hill,-37.82913501714399,145.08112672300882
Box Hill,-37.82717749212951,145.0757300816167
Box Hill,-37.823453259680136,145.0748053281817
Box Hill,-37.83627128378667,145.0909222904604
Box Hill,-37.825385875187266,145.0753356283222
Box Hill,-37.828168882773554,145.07814773957057
Box Hill,-37.82869195826424,145.08258552228878
Box Hill,-37.830584109424684,145.07384751742802
Box Hill,-37.83664146639564,145.07939125469846
Box Hill,-37.836598573316536,145.09027297168768
Box Hill,-37.82991215520421,145.0827432784648
Box Hill,-37.82137053734662,145.07629629590434
Box Hill,-37.82374227705092,145.07790549693433
Box Hill,-37.82331463871916,145.07966123784587
Box Hill,-37.827276379946504,145.08967887651173
Box Hill,-37.83394865240007,145.08519919589594
Box Hill,-37.831105065792094,145.08486862516753
Box Hill,-37.830574343336245,145.07404008681223
Box Hill,-37.82327401841233,145.07378415994637
Box Hill,-37.831577169104655,145.0851783014959
Box Hill,-37.82634694455076,145.08978040272802
Box Hill,-37.82686140000109,145.07678002150138
Box Hill,-37.83283971777015,145.08687329320813
Box Hill,-37.822776620399985,145.08890726877067
Box Hill,-37.83033704789526,145.08420457069775
Box Hill,-37.820382390799665,145.08333904081712
Box Hill,-37.82388967243023,145.07822009066453
Box Hill,-37.826534221393906,145.09041261762505
Box Hill,-37.83427663649539,145.0889652026522
Box Hill,-37.836412120152104,145.07913230523286
Box Hill,-37.829853951652154,145.09303302533868
Box Hill,-37.82479719763295,145.0876596424425
Box Hill,-37.819946950405544,145.0846806530494
Box Hill,-37.82042254487684,145.08913507817115
Box Hill,-37.83760988795961,145.07370834069744
Box Hill,-37.82403057000417,145.08416184352188
Box Hill,-37.8242164925568,145.08197508562148
Box Hill,-37.83408897636138,145.08792196976307
Box Hill,-37.82014874495123,145.07495800881676
Box Hill,-37.824283691212486,145.0907000129963
Box Hill,-37.81996984851023,145.07724782387396
Box Hill,-37.82672453061692,145.08490410223905
Richmond,-37.744169543515845,145.16006368572616
Richmond,-37.74956945934905,145.1696689360559
Richmond,-37.74107779707082,145.1740240156366
Richmond,-37.74767992529571,145.17458789051724
Richmond,-37.74831280029525,145.1684594408494
Richmond,-37.73376415130461,145.1590000388242
Richmond,-37.749902855838,145.1583598049722
Richmond,-37.738012899119326,145.16200664607854
Richmond,-37.7508488256702,145.15546506849367
Richmond,-37.74819585905705,145.1598370430782
Richmond,-37.73950660996746,145.17173876738158
Richmond,-37.73323050907177,145.16389618475023
Richmond,-37.75003125663655,145.15673724510685
Richmond,-37.74597860981797,145.16020286961566
Richmond,-37.74583654519057,145.1619209862791
Richmond,-37.73277577932284,145.15611038964323
Richmond,-37.742692538163524,145.15933092514948
Richmond,-37.74967626251606,145.16637476942526
Richmond,-37.74550899577438,145.164690444792
Richmond,-37.74249142191115,145.15763761076926
Richmond,-37.74599804561511,145.15874134341226
Richmond,-37.74237086978219,145.16599977084263
Richmond,-37.74389482864652,145.15769081286425
Richmond,-37.74635419129177,145.16341852877136
Richmond,-37.73905335332019,145.16377783956543
Richmond,-37.73167973431891,145.16054729345632
Richmond,-37.74802606108512,145.1563240233733
Richmond,-37.74242581877871,145.16377667332108
Richmond,-37.732026874526156,145.15549744771374
Richmond,-37.74162874303174,145.15771746422027
Richmond,-37.73480132457192,145.16582281750607
Richmond,-37.73369023487865,145.16839027613398
Richmond,-37.74702774550566,145.17343490214427
Richmond,-37.741920406379265,145.1702347419518
Richmond,-37.73516427652962,145.17163029372924
Richmond,-37.7416109377796,145.16813367422523
Richmond,-37.73609429957811,145.16348721639162
Richmond,-37.741232665847186,145.1579917848824
Richmond,-37.75029714548288,145.1586872993967
St Kilda,-37.909988335340444,144.95588451186066
St Kilda,-37.91578161114094,144.9601490252835
St Kilda,-37.928051032838674,144.96231490872435
St Kilda,-37.915274765500314,144.95945766924976
St Kilda,-37.92863051525096,144.9428337010529
St Kilda,-37.92453338035157,144.95134224605732
St Kilda,-37.92881146283395,144.9451256261993
St Kilda,-37.91553501609908,144.95131758489853
St Kilda,-37.92006647058802,144.94536182841406
St Kilda,-37.91678026034646,144.95193168020052
St Kilda,-37.92539023651796,144.9504839435704
St Kilda,-37.92840005018977,144.95110284995488
St Kilda,-37.9194487104116,144.94460574958129
St Kilda,-37.92517656627878,144.9611034234934
St Kilda,-37.917172462783746,144.9537564360148
St Kilda,-37.913181019974736,144.9447396312676
St Kilda,-37.91293404389026,144.95330957476597
St Kilda,-37.9265064237768,144.94566783054475
St Kilda,-37.91101473836412,144.94813043396232
St Kilda,-37.91764417055148,144.94931224758886
St Kilda,-37.92098002549589,144.94404604162824
St Kilda,-37.919551783891485,144.95050550058178
St Kilda,-37.91663499343509,144.95141860205257
St Kilda,-37.91276175254559,144.9490946890306
St Kilda,-37.9284992813035,144.96224357146238
St Kilda,-37.92890714379104,144.95774275696962
St Kilda,-37.92188338318768,144.95682769298267
St Kilda,-37.91832537002534,144.9438737039778
St Kilda,-37.922208676894535,144.94737198761746
St Kilda,-37.924026287521336,144.95725446158423
St Kilda,-37.92030855838592,144.95989524772025
St Kilda,-37.92374188310191,144.958759280749
St Kilda,-37.91049576700038,144.95774590720697
St Kilda,-37.91830665706624,144.95783295033553
St Kilda,-37.92677501965501,144.95480533102025
St Kilda,-37.92134088738883,144.95241273635335
St Kilda,-37.92226782680484,144.9536417122837
St Kilda,-37.916053660784826,144.9525020549826
St Kilda,-37.91368843265899,144.95500225894003
St Kilda,-37.91038265463949,144.9589419216132
St Kilda,-37.91046593838728,144.94606395627414
St Kilda,-37.92426642751355,144.95029714337085
St Kilda,-37.91739716944104,144.95889895008554
St Kilda,-37.912336575998346,144.94986123244357
St Kilda,-37.92631549555655,144.9584987799343
St Kilda,-37.91204956374509,144.94561932729616
St Kilda,-37.91834443363236,144.95321653666264
St Kilda,-37.925103378731656,144.94391067537342
St Kilda,-37.91291698817107,144.9600395389415
St Kilda,-37.91348175545783,144.95256054669272
St Kilda,-37.92297617434158,144.95778436982397
St Kilda,-37.91308293098119,144.96173828389126
St Kilda,-37.915033708897795,144.95946699753253
St Kilda,-37.923036477564025,144.94311086310236
St Kilda,-37.9193281729464,144.95499844431782
St Kilda,-37.923023344717706,144.9623521914726
St Kilda,-37.914046608228496,144.94790734716506
St Kilda,-37.917255466779814,144.95468588479014
St Kilda,-37.910358767543094,144.95667677575827
St Kilda,-37.91692514446535,144.9588276376238
St Kilda,-37.91848053824245,144.95767964173788
St Kilda,-37.913472318618076,144.94367305310175
St Kilda,-37.9188739003649,144.95397584737623
St Kilda,-37.9155276868986,144.94990794152767
St Kilda,-37.91274981769775,144.95148864070543
Brunswick,-37.7684880457275,145.11669424772265
Brunswick,-37.765961027043154,145.11172939111498
Brunswick,-37.78282193828706,145.12141865649554
Brunswick,-37.766063567467526,145.11023560481576
Brunswick,-37.77493464755077,145.10435502120376
Brunswick,-37.770031179602256,145.1205456645294
Brunswick,-37.76772244657379,145.1081479514752
Brunswick,-37.77866836890427,145.11384946327917
Brunswick,-37.766425985612976,145.1196577138126
Brunswick,-37.768480448063414,145.11873459411248
Brunswick,-37.76759422317851,145.10186812871277
Brunswick,-37.778103310630684,145.10348349656155
Brunswick,-37.7735046454228,145.11186477398377
Brunswick,-37.77990643151896,145.12022416428505
Brunswick,-37.77980117926952,145.10683588164858
Brunswick,-37.77759627707836,145.11968259838125
Brunswick,-37.76513456971579,145.10341234543733
Brunswick,-37.773281559221445,145.1036947377976
Brunswick,-37.77818678953411,145.11465819060032
Brunswick,-37.779552999072216,145.11944243355904
Brunswick,-37.77165256343383,145.11163118892037
Brunswick,-37.766278682615635,145.11642651103864
Brunswick,-37.77807962580552,145.11099090200798
Brunswick,-37.76759944757342,145.10199240713777
Brunswick,-37.76619788885088,145.12163882860105
Brunswick,-37.7736266295805,145.11747297728542
Brunswick,-37.7636174956717,145.11933228643213
Brunswick,-37.773234090148776,145.1038295608589
Brunswick,-37.77878578403531,145.12000275851392
Brunswick,-37.76850945628728,145.11035500591942
Brunswick,-37.7666713816196,145.10637443980585
Brunswick,-37.767631625264904,145.10409164298724
Brunswick,-37.7694745810966,145.10953657908036
Brunswick,-37.766599562943526,145.12023889693822
Brunswick,-37.76627284948322,145.11874197042047
Brunswick,-37.77500894795501,145.10171116687718
Brunswick,-37.77209241763541,145.11411987494128
Brunswick,-37.78145112272392,145.10587104738326
Brunswick,-37.76826482416291,145.10667540009032
Brunswick,-37.76390140274583,145.11299786701798
Brunswick,-37.77509327687756,145.11674050929415
Brunswick,-37.7648044260192,145.11149110291038
Brunswick,-37.775649086690095,145.10990792561788
Brunswick,-37.769900353368705,145.11853293356975
Brunswick,-37.782460499384186,145.1212270779088
Brunswick,-37.764901244286776,145.11870543204304
Brunswick,-37.775166604387906,145.10757006015865
Brunswick,-37.78256803711447,145.11797535226466
Brunswick,-37.76904065440908,145.10542769932934
Brunswick,-37.77702605080692,145.11862911253124
Brunswick,-37.77724207826326,145.11223454727232
Brunswick,-37.77802720052633,145.11643488936866
Brunswick,-37.76648536784428,145.10750053224666
Brunswick,-37.778207487265675,145.10212851134193
Brunswick,-37.77606964770929,145.12138770645996
Brunswick,-37.76855655432844,145.10394818185233
Brunswick,-37.77624540302553,145.10652057942863
Brunswick,-37.77306227293977,145.10550634870722
Brunswick,-37.78235513295359,145.11555190911648
Brunswick,-37.771487993665424,145.10934013327235
Brunswick,-37.76643660759174,145.1198338057225
Brunswick,-37.775760299208585,145.10825323681556
Brunswick,-37.77744120243453,145.1099818561937
Brunswick,-37.77638962023816,145.11690718202976
Brunswick,-37.763836204751684,145.11633367779504
Brunswick,-37.76834086084454,145.12019143237472
Brunswick,-37.77301083598522,145.11315512741808
Brunswick,-37.773036967528355,145.10968074148408
Brunswick,-37.77190387216219,145.11242305851928
Brunswick,-37.7749539206353,145.11129492967413
Brunswick,-37.77045112516553,145.10768425614697
Brunswick,-37.76581212775417,145.1143177395267
Brunswick,-37.77789914488103,145.10335936966638
Brunswick,-37.78197429649071,145.12136631447248
Brunswick,-37.766216729520025,145.11702497675728
Brunswick,-37.77265142842709,145.11059483350252
Brunswick,-37.77519992488273,145.1120435389087
Brunswick,-37.7807627808188,145.12153221163294
Docklands,-37.80975246294999,145.1107307660691
Docklands,-37.810536540307375,145.09481699407164
Docklands,-37.79699817379394,145.10828961978368
Docklands,-37.803373013533864,145.09950630107488
